PC1,PC2,Ward_D,Index
2.282999156676008,1.3951587105073298,Hot,TCGA-ZU-A8S4-01A
4.648343584899328,-0.9301073866803757,Cold,TCGA-W5-AA30-01A
-5.387428417284809,2.6596105048837972,Hot,TCGA-W5-AA39-01A
-1.7906134090216412,-1.761811137095129,Hot,TCGA-W5-AA34-01A
-6.890018348384126,-0.50290716163572,Hot,TCGA-ZH-A8Y5-01A
11.997842711405836,1.3972755655835833,Cold,TCGA-W5-AA2H-01A
0.42109015428992835,0.4359947119676145,Hot,TCGA-ZH-A8Y2-01A
6.223452438456897,0.2096434920832274,Cold,TCGA-3X-AAVE-01A
-4.650546670303552,0.9565298682683478,Hot,TCGA-W5-AA38-01A
-6.451010078245819,-1.1622211946408187,Hot,TCGA-ZH-A8Y6-01A
1.1335094185298227,-0.2995331007179092,Hot,TCGA-W5-AA2U-01A
-0.7154395133075984,0.6531316251759658,Hot,TCGA-4G-AAZT-01A
-1.3478321844015673,-3.5623752298471114,Hot,TCGA-W5-AA31-01A
-0.324561550985175,2.815829272781062,Hot,TCGA-W5-AA2W-01A
-3.5408244875481527,-1.0536944386240277,Hot,TCGA-W5-AA2O-01A
7.223491435601379,-0.09938507739476987,Cold,TCGA-3X-AAV9-01A
5.086399586790285,-1.138023217994927,Cold,TCGA-W5-AA33-01A
2.266210215774737,2.0049490268472328,Hot,TCGA-3X-AAVC-01A
-2.173956543470874,3.042077240602351,Hot,TCGA-4G-AAZO-01A
-1.3219113260965003,3.3198592108303013,Hot,TCGA-W5-AA2X-01A
-3.3724554244274945,-0.3750331932292496,Hot,TCGA-W5-AA2T-01A
-2.362932274506709,-1.8937510023191815,Hot,TCGA-ZD-A8I3-01A
-3.5150148922392908,-0.8214845638343002,Hot,TCGA-ZH-A8Y4-01A
-3.418370051624303,-1.9335304587682827,Hot,TCGA-ZH-A8Y1-01A
-4.737410742519002,3.9325262255892603,Hot,TCGA-W5-AA2I-01A
2.780033084107759,-0.0009180766486955316,Hot,TCGA-3X-AAVA-01A
-2.922881492981403,-0.8399105461945341,Hot,TCGA-W5-AA36-01A
1.6890451475698387,-1.376087189496964,Hot,TCGA-3X-AAVB-01A
-0.2406112153746371,-1.0641774057785676,Hot,TCGA-W6-AA0S-01A
4.209264042164502,-1.551243545772777,Cold,TCGA-ZH-A8Y8-01A
-1.578255334212428,0.6434780715358424,Hot,TCGA-YR-A95A-01A
-1.3816836626397975,-1.258116505331327,Hot,TCGA-W5-AA2G-01A
-2.2470857694555497,0.37535097825219954,Hot,TCGA-W5-AA2Q-01A
-1.198168184619314,-2.3193923754487673,Hot,TCGA-W5-AA2Z-01A
6.2489472056876005,0.034287688683101114,Cold,TCGA-WD-A7RX-01A
5.358383391695824,0.06800061386220921,Cold,TCGA-W5-AA2R-01A
